Game no.,Winner,Score,mcboy,rdeep
1000,mcboy,1,335,161
1000,mcboy,1,336,161
1000,rdeep,1,336,162
1000,rdeep,2,336,164
1000,mcboy,1,337,164
1000,mcboy,1,338,164
1000,mcboy,1,339,164
1000,mcboy,1,340,164
1000,rdeep,1,340,165
1000,mcboy,1,341,165
1000,mcboy,1,342,165
1000,mcboy,2,344,165
1000,rdeep,1,344,166
1000,mcboy,1,345,166
1000,mcboy,1,346,166
1000,rdeep,2,346,168
1000,mcboy,1,347,168
1000,rdeep,1,347,169
1000,mcboy,1,348,169
1000,mcboy,1,349,169
1000,rdeep,2,349,171
1000,mcboy,1,350,171
1000,rdeep,2,350,173
1000,mcboy,1,351,173
1000,mcboy,2,353,173
1000,mcboy,1,354,173
1000,mcboy,1,355,173
1000,mcboy,2,357,173
1000,mcboy,1,358,173
1000,rdeep,3,358,176
1000,mcboy,1,359,176
1000,mcboy,1,360,176
1000,mcboy,1,361,176
1000,rdeep,2,361,178
1000,rdeep,2,361,180
1000,mcboy,2,363,180
1000,mcboy,2,365,180
1000,mcboy,1,366,180
1000,mcboy,1,367,180
1000,mcboy,2,369,180
1000,mcboy,1,370,180
1000,rdeep,1,370,181
1000,mcboy,1,371,181
1000,rdeep,1,371,182
1000,mcboy,3,374,182
1000,mcboy,1,375,182
1000,mcboy,2,377,182
1000,rdeep,1,377,183
1000,mcboy,2,379,183
1000,mcboy,1,380,183
1000,rdeep,1,380,184
1000,mcboy,2,382,184
1000,rdeep,1,382,185
1000,mcboy,2,384,185
1000,mcboy,2,386,185
1000,mcboy,1,387,185
1000,mcboy,1,388,185
1000,mcboy,1,389,185
1000,mcboy,2,391,185
1000,mcboy,2,393,185
1000,mcboy,1,394,185
1000,rdeep,1,394,186
1000,mcboy,1,395,186
1000,rdeep,2,395,188
1000,mcboy,1,396,188
1000,rdeep,2,396,190
1000,mcboy,1,397,190
1000,rdeep,1,397,191
1000,rdeep,1,397,192
1000,rdeep,2,397,194
1000,rdeep,1,397,195
1000,rdeep,1,397,196
1000,mcboy,3,400,196
1000,rdeep,1,400,197
1000,mcboy,1,401,197
1000,mcboy,1,402,197
1000,mcboy,2,404,197
1000,mcboy,1,405,197
1000,mcboy,1,406,197
1000,mcboy,2,408,197
1000,mcboy,1,409,197
1000,rdeep,3,409,200
1000,mcboy,2,411,200
1000,mcboy,2,413,200
1000,rdeep,2,413,202
1000,rdeep,1,413,203
1000,mcboy,2,415,203
1000,mcboy,1,416,203
1000,mcboy,1,417,203
1000,rdeep,2,417,205
1000,rdeep,3,417,208
1000,mcboy,1,418,208
1000,mcboy,2,420,208
1000,rdeep,2,420,210
1000,mcboy,1,421,210
1000,rdeep,2,421,212
1000,mcboy,1,422,212
1000,mcboy,2,424,212
1000,mcboy,1,425,212
1000,mcboy,1,426,212
1000,mcboy,2,428,212
1000,rdeep,1,428,213
1000,mcboy,1,429,213
1000,mcboy,1,430,213
1000,rdeep,2,430,215
1000,mcboy,2,432,215
1000,mcboy,1,433,215
1000,rdeep,1,433,216
1000,rdeep,2,433,218
1000,rdeep,1,433,219
1000,mcboy,3,436,219
1000,mcboy,1,437,219
1000,rdeep,1,437,220
1000,mcboy,1,438,220
1000,mcboy,3,441,220
1000,mcboy,1,442,220
1000,rdeep,2,442,222
1000,mcboy,1,443,222
1000,mcboy,1,444,222
1000,mcboy,2,446,222
1000,mcboy,1,447,222
1000,mcboy,3,450,222
1000,mcboy,1,451,222
1000,mcboy,1,452,222
1000,mcboy,2,454,222
1000,mcboy,1,455,222
1000,mcboy,1,456,222
1000,mcboy,1,457,222
1000,mcboy,1,458,222
1000,mcboy,1,459,222
1000,rdeep,3,459,225
1000,rdeep,2,459,227
1000,rdeep,2,459,229
1000,mcboy,2,461,229
1000,mcboy,2,463,229
1000,mcboy,2,465,229
1000,rdeep,2,465,231
1000,mcboy,1,466,231
1000,rdeep,3,466,234
1000,rdeep,2,466,236
1000,rdeep,1,466,237
1000,mcboy,1,467,237
1000,mcboy,1,468,237
1000,mcboy,1,469,237
1000,mcboy,2,471,237
1000,rdeep,2,471,239
