Game no.,Winner,Score,mcbadboy,mcboy
1000,mcboy,3,0,916
1000,mcboy,3,0,919
1000,mcboy,3,0,922
1000,mcboy,3,0,925
1000,mcboy,2,0,927
1000,mcboy,3,0,930
1000,mcboy,3,0,933
1000,mcboy,2,0,935
1000,mcboy,3,0,938
1000,mcboy,2,0,940
1000,mcboy,3,0,943
1000,mcboy,3,0,946
1000,mcboy,3,0,949
1000,mcboy,3,0,952
1000,mcboy,3,0,955
1000,mcboy,3,0,958
1000,mcboy,3,0,961
1000,mcboy,3,0,964
1000,mcboy,3,0,967
1000,mcboy,3,0,970
1000,mcboy,3,0,973
1000,mcboy,3,0,976
1000,mcboy,3,0,979
1000,mcboy,3,0,982
1000,mcboy,3,0,985
1000,mcboy,3,0,988
1000,mcboy,3,0,991
1000,mcboy,2,0,993
1000,mcboy,3,0,996
1000,mcboy,3,0,999
1000,mcboy,2,0,1001
1000,mcboy,3,0,1004
1000,mcboy,2,0,1006
1000,mcboy,3,0,1009
1000,mcboy,3,0,1012
1000,mcboy,3,0,1015
1000,mcboy,3,0,1018
1000,mcboy,3,0,1021
1000,mcboy,3,0,1024
1000,mcboy,3,0,1027
1000,mcboy,3,0,1030
1000,mcboy,3,0,1033
1000,mcboy,3,0,1036
1000,mcboy,3,0,1039
1000,mcboy,3,0,1042
1000,mcboy,3,0,1045
1000,mcboy,3,0,1048
1000,mcboy,3,0,1051
1000,mcboy,3,0,1054
1000,mcboy,3,0,1057
1000,mcboy,3,0,1060
1000,mcboy,3,0,1063
1000,mcboy,3,0,1066
1000,mcboy,3,0,1069
1000,mcboy,3,0,1072
1000,mcboy,2,0,1074
1000,mcboy,2,0,1076
1000,mcboy,2,0,1078
1000,mcboy,3,0,1081
1000,mcboy,3,0,1084
1000,mcboy,3,0,1087
1000,mcboy,3,0,1090
1000,mcboy,3,0,1093
1000,mcboy,2,0,1095
1000,mcboy,3,0,1098
1000,mcboy,3,0,1101
1000,mcboy,2,0,1103
